sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-07-05 17:00:00,2.99,,6.97,6.00,LLeno,LLeno,LLeno,,,
2026-07-05 19:00:00,Medio -,,Full,LLeno,LLeno,LLeno,LLeno,,,
2026-07-05 21:00:00,Medio -,,Full,LLeno,LLeno,LLeno,LLeno,,,
2026-07-05 23:00:00,3.39,,7.00,LLeno,5.99,5.64,5.92,,,
2026-07-06 01:00:00,6.65,,7.00,LLeno,1.88,Medio +,Medio +,,,
2026-07-06 03:00:00,6.00,,6.98,5.78,3.30,Medio +,Medio +,,,
2026-07-06 05:00:00,5.96,,6.99,5.24,2.83,Medio +,Medio +,,,
2026-07-06 07:00:00,LLeno,,6.97,5.58,3.38,Medio +,Medio +,,,
2026-07-06 09:00:00,LLeno,,6.94,5.08,4.03,Medio +,Medio +,,,
2026-07-06 11:00:00,4.05,,6.95,4.95,3.63,4.16,5.02,,Full,
2026-07-06 13:00:00,Medio -,,Full,Medio +,5.05,4.92,6.57,,Full,
2026-07-06 15:00:00,Medio -,,Full,5.80,6.94,6.05,6.03,,Full,
2026-07-06 17:00:00,Medio -,,6.99,6.00,6.57,LLeno,LLeno,,,
2026-07-06 19:00:00,Medio -,,6.98,LLeno,LLeno,LLeno,LLeno,,,
2026-07-06 21:00:00,Medio -,,7.00,LLeno,LLeno,LLeno,LLeno,,,
2026-07-06 23:00:00,3.78,,6.72,5.97,5.44,5.56,5.55,,,
2026-07-07 01:00:00,6.06,,6.71,5.06,LLeno,4.88,Medio +,,,
2026-07-07 03:00:00,LLeno,,6.90,5.22,5.26,Medio +,Medio +,,,
2026-07-07 05:00:00,5.95,,6.29,Medio +,4.91,Medio +,Medio +,,,
